Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,52 week low ratio,52 week high ratio
222.89,24.31,2.3328617,7.92,138721055226.0,9048000000.0,4.3902707,11.34,1.1654627843330791,0.7873390461662705
60.24,27.76,1.1479592,1.7,10783419933.0,601000000.0,3.5754826,6.35,1.1352921646746348,0.8121679946879149
56.27,22.51,1.9089824,0.26,102121042306.0,5744000000.0,3.7404804,3.19,1.1480362537764348,0.751377288075351
108.48,19.41,2.4995599,3.29,181386347059.0,10310000000.0,6.291571,26.14,1.1602138643067845,0.5535582595870207
150.51,25.47,1.7144699,5.44,98765855553.0,5643228000.0,2.604117,10.62,1.080326888578832,0.7628728988107103
65.83,31.8,0.43190324,1.28,52518668144.0,2704000000.0,10.59512,5.16,1.1384627069725048,0.5913717150235455
145.41,18.22,0.35118526,7.43,6242377704.0,587800000.0,1.7953473,3.55,1.5498246337940995,0.9765490681521216
185.16,52.31,0.0,3.39,94550214268.0,2538040000.0,13.092818,11.06,1.1041801685029164,0.6181194642471376
109.63,19.54,0.21832074,6.19,8123611867.0,853941000.0,1.1301061,2.51,1.5465657210617534,0.7188725713764481
11.22,187.0,0.0,0.03,11191663795.0,339000000.0,2.1091955,21.47,1.3948306595365418,0.8645276292335115
10.06,9.96,4.961832,-1.72,6920851212.0,3001000000.0,0.65951383,2.2,1.1978131212723657,0.9940357852882703
178.0,18.11,1.101989,5.75,59197016353.0,4139000000.0,0.9923546,3.79,1.0921348314606742,0.6714044943820225
179.11,12.24,0.6387395,12.07,10442174371.0,1261400000.0,4.591235,2.89,1.2115180615264363,0.8308302160683378
83.25,12.24,2.4299066,11.01,33422948000.0,0.0,1.5429344,1.53,1.1018618618618619,0.8264264264264264
65.05,27.45,0.8756979,2.1,21984606918.0,1094000000.0,6.493563,4.56,1.1529592621060722,0.7568024596464258
152.8,24.22,2.7811136,13.66,34638387128.0,2542500000.0,4.1163683,3.35,1.1464005235602093,0.8745425392670156
62.49,32.55,0.0,1.79,10906904066.0,789517000.0,5.8546524,3.25,1.1131381020963353,0.7145143222915666
64.04,9.66,1.9928383,8.28,7903173734.0,1665000000.0,0.9801092,2.21,1.5838538413491567,0.925202998126171
105.18,26.03,1.2004126,5.66,11782151266.0,686030000.0,5.3666205,2.98,1.3784940102681118,0.8590036128541547
114.58,19.03,3.0262272,1.57,12043374429.0,0.0,10.492155,2.07,1.172717751789143,0.932885320300227
108.47,22.18,0.0,1.77,26172439795.0,1072000000.0,9.720562,2.82,1.3767862081681572,0.8866967825205126
220.71,56.59,0.0,2.84,18788041378.0,380326000.0,13.138819,16.44,1.3017987404286167,0.41960038058991433
77.32,21.07,0.8004002,2.37,7599609494.0,531800000.0,4.265232,20.48,1.161536471805484,0.8629073978272116
164.2,10.65,1.643289,38.35,56668833898.0,-2888100000.0,4.820115,0.83,1.5639464068209503,0.9748477466504263
240.6,13.02,0.9240122,14.13,13632608582.0,2143200000.0,1.7282298,8.28,1.1568162926018288,0.8686616791354946
37.14,19.86,3.5733333,1.65,8670163500.0,1168400000.0,3.4331481,2.13,1.2264404954227248,0.9919224555735058
90.06,13.26,1.5278208,4.68,34759468905.0,0.0,1.2085556,1.67,1.1698867421718853,0.86309127248501
1007.71,31.48,0.0,22.27,733823966137.0,34217000000.0,6.801692,4.7,1.1888340891724802,0.8179932718738525
1001.52,40.29,0.0,22.27,728535558140.0,32714000000.0,6.772653,4.67,1.1850886652288524,0.8019713036184999
64.05,18.89,3.9526875,5.31,126985101434.0,10773000000.0,4.945682,10.32,1.214519906323185,0.9369242779078845
1350.5,296.16,0.0,6.16,685873374731.0,16132000000.0,3.927053,24.28,1.1092188078489449,0.6016290262865606
52.59,20.38,3.4404964,2.68,12905744906.0,2298000000.0,2.693119,1.79,1.2338847689674843,0.9851682829435253
48.6,9.92,0.7782101,3.91,24594852352.0,5761000000.0,0.58022565,6.03,1.2156378600823046,0.8067901234567901
63.38,17.32,3.8479443,1.24,31701916517.0,4450800000.0,2.7489934,1.81,1.231776585673714,0.989113284947933
88.34,15.0,1.4955667,2.9,80410990000.0,0.0,2.273575,3.75,1.158988000905592,0.8547656780620331
58.28,23.22,2.1167521,-0.76,54360073164.0,0.0,1.4686536,0.75,1.1547700754975978,0.9926218256691832
133.57,20.68,2.0,1.97,59213892640.0,3792383000.0,11.954137,9.22,1.162536497716553,0.7738264580369844
76.06,26.23,2.129297,2.63,13906146184.0,1711000000.0,5.553833,2.55,1.2144359716013673,0.9451748619510912
152.5,12.41,2.0735743,9.44,23472126000.0,0.0,1.9493247,3.73,1.2059016393442623,0.7792786885245901
91.55,15.54,1.6132456,1.64,20587704101.0,991884000.0,0.17396984,9.73,1.1607864554888039,0.7853631895139269
72.05,27.61,0.75512403,2.94,17139651923.0,1025763000.0,4.015368,4.54,1.0896599583622486,0.712144344205413
173.12,13.76,2.9751508,2.57,128133340000.0,11945000000.0,5.58192,3.91,1.16237292051756,0.8789279112754158
84.44,25.9,0.8608971,2.05,26955335395.0,1671700000.0,3.85675,6.64,1.1087162482235908,0.796541923259119
56.2,-21.29,1.7029973,-5.9,32129091747.0,3115000000.0,3.9682212,2.88,1.2455516014234875,0.7110320284697509
82.68,17.67,2.108963,2.11,31811578855.0,1663384000.0,8.00391,3.13,1.1898887276245764,0.9028785679729076
96.9,18.78,2.3454583,6.13,15696449735.0,2548000000.0,0.6618165,1.7,1.2560371517027862,0.7751289989680082
148.84,42.53,0.0,2.99,13155919129.0,458515000.0,16.8134,5.79,1.1079011018543403,0.6350443429185703
230.57,19.23,1.2581781,14.36,61221978627.0,0.0,0.6696521,2.28,1.1621199635685475,0.6800971505399662
136.05,20.8,1.0245464,4.66,35123123422.0,1858000000.0,3.4972682,6.78,1.1229694965086365,0.8321947813303932
37.73,-251.53,2.528445,-3.72,15066280977.0,3265000000.0,3.651366,2.22,1.5345878611184736,1.0108666843360723
38.21,15.6,3.876562,1.95,6156884142.0,874871000.0,6.187621,4.69,1.2262496728605077,1.0167495420047108
155.15,16.86,1.5795412,9.2,809508034020.0,79386000000.0,3.4586093,5.66,1.160812117305833,0.8451176281018369
45.75,14.08,0.8215239,3.17,51296481503.0,4336000000.0,4.7020154,5.44,1.330928961748634,0.7558469945355191
89.27,69.74,0.9392678,5.05,24906530300.0,2370000000.0,1.5025798,7.56,1.085583062619021,0.9294275792539487
41.35,17.45,3.1761081,2.17,23594770663.0,2927000000.0,0.52478915,1.29,1.147279322853688,0.9332527206771464
24.45,20.21,0.9561753,-0.21,12123300000.0,1517000000.0,0.94214815,,1.2748466257668714,0.8897750511247443
64.4,21.05,2.4807138,2.54,11968488290.0,888000000.0,1.9400215,2.92,1.0954968944099377,0.8327639751552794
85.16,33.27,2.5313594,9.08,4653993594.0,0.0,0.9821866,1.12,1.2562822921559418,1.0088069516204792
35.57,12.14,5.4156513,4.76,226713270000.0,49653000000.0,1.4083152,1.8,1.2004498172617375,0.9150969918470621
104.81,-77.07,0.0,-2.61,24348294504.0,-378100000.0,16.50682,224.13,1.2508348440034347,0.779982826066215
108.25,29.34,2.2190912,3.85,50337702249.0,2767400000.0,4.0483294,12.86,1.1569515011547344,0.8822170900692841
718.57,16.31,0.0,44.09,19922021415.0,2347304000.0,1.8510429,136.23,1.110385905339772,0.6834824721321513
154.94,17.97,3.7149355,6.36,21856547430.0,1331579000.0,10.251216,2.12,1.2877242803665936,1.0069058990576998
